"Periodo(MMM DD, AAAA)";"Unidad de Valor Real (UVR)";"Archivo"
"2015/10/23";224,8278;"UVR_Unidad de valor real"
"2015/10/24";224,8798;"UVR_Unidad de valor real"
"2015/10/25";224,9318;"UVR_Unidad de valor real"
"2015/10/26";224,9839;"UVR_Unidad de valor real"
"2015/10/27";225,036;"UVR_Unidad de valor real"
"2015/10/28";225,0881;"UVR_Unidad de valor real"
"2015/10/29";225,1402;"UVR_Unidad de valor real"
"2015/10/30";225,1923;"UVR_Unidad de valor real"
"2015/10/31";225,2444;"UVR_Unidad de valor real"
"2015/11/01";225,2965;"UVR_Unidad de valor real"
"2015/11/02";225,3487;"UVR_Unidad de valor real"
"2015/11/03";225,4008;"UVR_Unidad de valor real"
"2015/11/04";225,453;"UVR_Unidad de valor real"
"2015/11/05";225,5052;"UVR_Unidad de valor real"
"2015/11/06";225,5574;"UVR_Unidad de valor real"
"2015/11/07";225,6096;"UVR_Unidad de valor real"
"2015/11/08";225,6618;"UVR_Unidad de valor real"
"2015/11/09";225,714;"UVR_Unidad de valor real"
"2015/11/10";225,7663;"UVR_Unidad de valor real"
"2015/11/11";225,8185;"UVR_Unidad de valor real"
"2015/11/12";225,8708;"UVR_Unidad de valor real"
"2015/11/13";225,9231;"UVR_Unidad de valor real"
"2015/11/14";225,9754;"UVR_Unidad de valor real"
"2015/11/15";226,0277;"UVR_Unidad de valor real"
"2015/11/16";226,0788;"UVR_Unidad de valor real"
"2015/11/17";226,1298;"UVR_Unidad de valor real"
"2015/11/18";226,1809;"UVR_Unidad de valor real"
"2015/11/19";226,232;"UVR_Unidad de valor real"
"2015/11/20";226,2831;"UVR_Unidad de valor real"
"2015/11/21";226,3343;"UVR_Unidad de valor real"
"2015/11/22";226,3854;"UVR_Unidad de valor real"
"2015/11/23";226,4365;"UVR_Unidad de valor real"
"2015/11/24";226,4877;"UVR_Unidad de valor real"
"2015/11/25";226,5389;"UVR_Unidad de valor real"
"2015/11/26";226,5901;"UVR_Unidad de valor real"
"2015/11/27";226,6412;"UVR_Unidad de valor real"
"2015/11/28";226,6924;"UVR_Unidad de valor real"
"2015/11/29";226,7437;"UVR_Unidad de valor real"
"2015/11/30";226,7949;"UVR_Unidad de valor real"
"2015/12/01";226,8461;"UVR_Unidad de valor real"
"2015/12/02";226,8974;"UVR_Unidad de valor real"
"2015/12/03";226,9486;"UVR_Unidad de valor real"
"2015/12/04";226,9999;"UVR_Unidad de valor real"
"2015/12/05";227,0512;"UVR_Unidad de valor real"
"2015/12/06";227,1025;"UVR_Unidad de valor real"
"2015/12/07";227,1538;"UVR_Unidad de valor real"
"2015/12/08";227,2051;"UVR_Unidad de valor real"
"2015/12/09";227,2565;"UVR_Unidad de valor real"
"2015/12/10";227,3078;"UVR_Unidad de valor real"
"2015/12/11";227,3592;"UVR_Unidad de valor real"
"2015/12/12";227,4105;"UVR_Unidad de valor real"
"2015/12/13";227,4619;"UVR_Unidad de valor real"
"2015/12/14";227,5133;"UVR_Unidad de valor real"
"2015/12/15";227,5647;"UVR_Unidad de valor real"
"2015/12/16";227,6086;"UVR_Unidad de valor real"
"2015/12/17";227,6525;"UVR_Unidad de valor real"
"2015/12/18";227,6965;"UVR_Unidad de valor real"
"2015/12/19";227,7404;"UVR_Unidad de valor real"
"2015/12/20";227,7844;"UVR_Unidad de valor real"
"2015/12/21";227,8283;"UVR_Unidad de valor real"
"2015/12/22";227,8723;"UVR_Unidad de valor real"
"2015/12/23";227,9163;"UVR_Unidad de valor real"
"2015/12/24";227,9603;"UVR_Unidad de valor real"
"2015/12/25";228,0043;"UVR_Unidad de valor real"
"2015/12/26";228,0483;"UVR_Unidad de valor real"
"2015/12/27";228,0923;"UVR_Unidad de valor real"
"2015/12/28";228,1363;"UVR_Unidad de valor real"
"2015/12/29";228,1803;"UVR_Unidad de valor real"
"2015/12/30";228,2244;"UVR_Unidad de valor real"
"2015/12/31";228,2684;"UVR_Unidad de valor real"
"2016/01/01";228,3124;"UVR_Unidad de valor real"
"2016/01/02";228,3565;"UVR_Unidad de valor real"
"2016/01/03";228,4006;"UVR_Unidad de valor real"
"2016/01/04";228,4447;"UVR_Unidad de valor real"
"2016/01/05";228,4887;"UVR_Unidad de valor real"
"2016/01/06";228,5328;"UVR_Unidad de valor real"
"2016/01/07";228,5769;"UVR_Unidad de valor real"
"2016/01/08";228,6211;"UVR_Unidad de valor real"
"2016/01/09";228,6652;"UVR_Unidad de valor real"
"2016/01/10";228,7093;"UVR_Unidad de valor real"
"2016/01/11";228,7534;"UVR_Unidad de valor real"
"2016/01/12";228,7976;"UVR_Unidad de valor real"
"2016/01/13";228,8418;"UVR_Unidad de valor real"
"2016/01/14";228,8859;"UVR_Unidad de valor real"
"2016/01/15";228,9301;"UVR_Unidad de valor real"
"2016/01/16";228,9757;"UVR_Unidad de valor real"
"2016/01/17";229,0214;"UVR_Unidad de valor real"
"2016/01/18";229,0671;"UVR_Unidad de valor real"
"2016/01/19";229,1128;"UVR_Unidad de valor real"
"2016/01/20";229,1584;"UVR_Unidad de valor real"
"2016/01/21";229,2041;"UVR_Unidad de valor real"
"2016/01/22";229,2498;"UVR_Unidad de valor real"
"2016/01/23";229,2955;"UVR_Unidad de valor real"
"2016/01/24";229,3413;"UVR_Unidad de valor real"
"2016/01/25";229,387;"UVR_Unidad de valor real"
"2016/01/26";229,4327;"UVR_Unidad de valor real"
"2016/01/27";229,4785;"UVR_Unidad de valor real"
"2016/01/28";229,5243;"UVR_Unidad de valor real"
"2016/01/29";229,57;"UVR_Unidad de valor real"
"2016/01/30";229,6158;"UVR_Unidad de valor real"
"2016/01/31";229,6616;"UVR_Unidad de valor real"
"2016/02/01";229,7074;"UVR_Unidad de valor real"
"2016/02/02";229,7532;"UVR_Unidad de valor real"
"2016/02/03";229,799;"UVR_Unidad de valor real"
"2016/02/04";229,8448;"UVR_Unidad de valor real"
"2016/02/05";229,8906;"UVR_Unidad de valor real"
"2016/02/06";229,9365;"UVR_Unidad de valor real"
"2016/02/07";229,9823;"UVR_Unidad de valor real"
"2016/02/08";230,0282;"UVR_Unidad de valor real"
"2016/02/09";230,0741;"UVR_Unidad de valor real"
"2016/02/10";230,1199;"UVR_Unidad de valor real"
"2016/02/11";230,1658;"UVR_Unidad de valor real"
"2016/02/12";230,2117;"UVR_Unidad de valor real"
"2016/02/13";230,2576;"UVR_Unidad de valor real"
"2016/02/14";230,3035;"UVR_Unidad de valor real"
"2016/02/15";230,3495;"UVR_Unidad de valor real"
"2016/02/16";230,4513;"UVR_Unidad de valor real"
"2016/02/17";230,5532;"UVR_Unidad de valor real"
"2016/02/18";230,6551;"UVR_Unidad de valor real"
"2016/02/19";230,7571;"UVR_Unidad de valor real"
"2016/02/20";230,8591;"UVR_Unidad de valor real"
"2016/02/21";230,9612;"UVR_Unidad de valor real"
"2016/02/22";231,0633;"UVR_Unidad de valor real"
"2016/02/23";231,1654;"UVR_Unidad de valor real"
"2016/02/24";231,2676;"UVR_Unidad de valor real"
"2016/02/25";231,3699;"UVR_Unidad de valor real"
"2016/02/26";231,4721;"UVR_Unidad de valor real"
"2016/02/27";231,5745;"UVR_Unidad de valor real"
"2016/02/28";231,6768;"UVR_Unidad de valor real"
"2016/02/29";231,7793;"UVR_Unidad de valor real"
"2016/03/01";231,8817;"UVR_Unidad de valor real"
"2016/03/02";231,9842;"UVR_Unidad de valor real"
"2016/03/03";232,0868;"UVR_Unidad de valor real"
"2016/03/04";232,1894;"UVR_Unidad de valor real"
"2016/03/05";232,292;"UVR_Unidad de valor real"
"2016/03/06";232,3947;"UVR_Unidad de valor real"
"2016/03/07";232,4975;"UVR_Unidad de valor real"
"2016/03/08";232,6003;"UVR_Unidad de valor real"
"2016/03/09";232,7031;"UVR_Unidad de valor real"
"2016/03/10";232,806;"UVR_Unidad de valor real"
"2016/03/11";232,9089;"UVR_Unidad de valor real"
"2016/03/12";233,0118;"UVR_Unidad de valor real"
"2016/03/13";233,1149;"UVR_Unidad de valor real"
"2016/03/14";233,2179;"UVR_Unidad de valor real"
"2016/03/15";233,321;"UVR_Unidad de valor real"
"2016/03/16";233,4167;"UVR_Unidad de valor real"
"2016/03/17";233,5125;"UVR_Unidad de valor real"
"2016/03/18";233,6084;"UVR_Unidad de valor real"
"2016/03/19";233,7042;"UVR_Unidad de valor real"
"2016/03/20";233,8001;"UVR_Unidad de valor real"
"2016/03/21";233,8961;"UVR_Unidad de valor real"
"2016/03/22";233,9921;"UVR_Unidad de valor real"
"2016/03/23";234,0881;"UVR_Unidad de valor real"
"2016/03/24";234,1841;"UVR_Unidad de valor real"
"2016/03/25";234,2802;"UVR_Unidad de valor real"
"2016/03/26";234,3764;"UVR_Unidad de valor real"
"2016/03/27";234,4726;"UVR_Unidad de valor real"
"2016/03/28";234,5688;"UVR_Unidad de valor real"
"2016/03/29";234,665;"UVR_Unidad de valor real"
"2016/03/30";234,7613;"UVR_Unidad de valor real"
"2016/03/31";234,8577;"UVR_Unidad de valor real"
"2016/04/01";234,9541;"UVR_Unidad de valor real"
"2016/04/02";235,0505;"UVR_Unidad de valor real"
"2016/04/03";235,1469;"UVR_Unidad de valor real"
"2016/04/04";235,2434;"UVR_Unidad de valor real"
"2016/04/05";235,34;"UVR_Unidad de valor real"
"2016/04/06";235,4365;"UVR_Unidad de valor real"
"2016/04/07";235,5332;"UVR_Unidad de valor real"
"2016/04/08";235,6298;"UVR_Unidad de valor real"
"2016/04/09";235,7265;"UVR_Unidad de valor real"
"2016/04/10";235,8232;"UVR_Unidad de valor real"
"2016/04/11";235,92;"UVR_Unidad de valor real"
"2016/04/12";236,0168;"UVR_Unidad de valor real"
"2016/04/13";236,1137;"UVR_Unidad de valor real"
"2016/04/14";236,2106;"UVR_Unidad de valor real"
"2016/04/15";236,3075;"UVR_Unidad de valor real"
"2016/04/16";236,3812;"UVR_Unidad de valor real"
"2016/04/17";236,4549;"UVR_Unidad de valor real"
"2016/04/18";236,5287;"UVR_Unidad de valor real"
"2016/04/19";236,6025;"UVR_Unidad de valor real"
"2016/04/20";236,6763;"UVR_Unidad de valor real"
"2016/04/21";236,7501;"UVR_Unidad de valor real"
"2016/04/22";236,8239;"UVR_Unidad de valor real"
"2016/04/23";236,8978;"UVR_Unidad de valor real"
"2016/04/24";236,9717;"UVR_Unidad de valor real"
"2016/04/25";237,0456;"UVR_Unidad de valor real"
"2016/04/26";237,1196;"UVR_Unidad de valor real"
"2016/04/27";237,1935;"UVR_Unidad de valor real"
"2016/04/28";237,2675;"UVR_Unidad de valor real"
"2016/04/29";237,3415;"UVR_Unidad de valor real"
"2016/04/30";237,4155;"UVR_Unidad de valor real"
"2016/05/01";237,4896;"UVR_Unidad de valor real"
"2016/05/02";237,5637;"UVR_Unidad de valor real"
"2016/05/03";237,6378;"UVR_Unidad de valor real"
"2016/05/04";237,7119;"UVR_Unidad de valor real"
"2016/05/05";237,786;"UVR_Unidad de valor real"
"2016/05/06";237,8602;"UVR_Unidad de valor real"
"2016/05/07";237,9344;"UVR_Unidad de valor real"
"2016/05/08";238,0086;"UVR_Unidad de valor real"
"2016/05/09";238,0829;"UVR_Unidad de valor real"
"2016/05/10";238,1571;"UVR_Unidad de valor real"
"2016/05/11";238,2314;"UVR_Unidad de valor real"
"2016/05/12";238,3057;"UVR_Unidad de valor real"
"2016/05/13";238,3801;"UVR_Unidad de valor real"
"2016/05/14";238,4544;"UVR_Unidad de valor real"
"2016/05/15";238,5288;"UVR_Unidad de valor real"
"2016/05/16";238,5672;"UVR_Unidad de valor real"
"2016/05/17";238,6056;"UVR_Unidad de valor real"
"2016/05/18";238,644;"UVR_Unidad de valor real"
"2016/05/19";238,6824;"UVR_Unidad de valor real"
"2016/05/20";238,7208;"UVR_Unidad de valor real"
"2016/05/21";238,7592;"UVR_Unidad de valor real"
"2016/05/22";238,7976;"UVR_Unidad de valor real"
"2016/05/23";238,836;"UVR_Unidad de valor real"
